"cell.id","temp_c_mean_idw","humidity_mean_idw","rain_24h_mean_idw","water_tank_density","proportion_no_waste_collection","number_households_no_mains_water_connection","proportion_households_no_sewage_collection","human_population","average_literacy","average_household_income","elevation","proportion_highways","proportion_water_bodies","proportion_flood_prone","proportion_residential","proportion_vegetation","proportion_favela","proportion_non_residential","built_volume_density","nres_built_volume_density","proportion_buildings_over6m","neighbouring_wmel_pctg_mean_avg","breeding_container_sum","wind_speed_mean_idw"
217,24.6783935739128,76.6750127014065,3.42700220503969,14.601131439209,0.000433914352779308,0,0,3555.56397007119,236.860024325667,2946.70135086981,1.69481284744379,0.0651701802238884,0,0,0.995924052560842,0,0.0040759474391579,0.0053190900686572,543.116231220192,0,0.545133002594433,0.0913201409392935,115,4.29032126026596
218,24.6969626308055,76.7220986625669,3.42738759574054,28.7075119018555,0,23.6750319762759,0.0074913593491365,4413.11415132469,277.472803267012,2607.53,24.9607101967079,NA,0,0,0.606753372672035,0,0.393246627327965,0,727.592586620233,0,0.552057447709747,0.133393816278645,34,4.30705926583707
219,24.5852497187603,76.3554634085097,3.43795295185988,7.07699298858643,0.042993331570824,2.26055229312034,0,537.343975822145,33.5205010981549,3036.04879283507,0,NA,0,0,0,0.658846104106101,0.146699876604197,0,169.295437772918,0,0.134896335268977,0.0684897317188984,0,4.20468684148043
220,24.6089594173404,76.4116895152919,3.42374936557067,23.0925521850586,0.00382730728628871,1.6814112047285,0,3367.01314145311,213.768531292808,3044.51,0,NA,0,0,0.510873787405486,0.0748007385620848,0.414325474032429,0,500.77054671808,0,0.40979814700707,0.0557161964193214,43,4.22090462154065
221,24.6307051086208,76.4675161903959,3.41634254985591,39.0260009765625,0,4.48233839686035,0.0135150897673966,2750.45129505304,170.557324947262,3056.63997578545,13.9137921105672,NA,0,0,0.139771196337749,0.158563735545993,0.701665068116259,0.00879415022348136,532.463856157814,0,0.438468604704828,0.093062301490038,9,4.23802857053186
222,24.6499829839229,76.5201656711642,3.41505986601781,19.1613159179688,0,2.51766160314257,0.00186570316831741,3302.04440387356,221.367769355116,3038.72941003607,39.8511637273799,0.0557795303003893,0,0,0.912759930086838,0,0.0872400699131619,0.0113173749394552,540.243824073816,0,0.522270262745509,0.0939243926956396,72,4.25584633213915
223,24.6662765407418,76.5670879534724,3.41772220473583,13.2490901947021,0,0.162017999159643,0.00182773840304598,4567.08955571278,297.625203286456,2612.38888545999,38.0899839900485,0.0343473470183563,0,0,0.934677367548028,0,0.0592246841636336,0.017301081457563,549.380921630997,0,0.548554119818071,0.100915543351312,114,4.2741735506393
224,24.6791467143452,76.606195434196,3.42399798432378,6.9083399772644,0,0.476121799672426,0.00685902557756988,1962.13436586449,133.30798782465,2610.34237135162,18.8492918728078,0.0257531596275469,0,0,0.944949068485023,0,0,0.0666787659720142,553.152428434742,0,0.520203929204043,0.17041884460831,21,4.29285195514562
225,24.499163913703,76.0509500855219,3.52613376206175,22.626163482666,0.00240500289185139,0.0684862593169908,0.0331292398721217,3793.42634814553,240.670775910195,2181.58705568791,0,0.0228674260021985,0.0222964107794442,0,0.847431953091815,0,0.0893625134363888,0.0676786053174688,509.515752786753,33.4045963174556,0.514375044116533,0.0191627816627817,40,4.11865574012112
226,24.5238694976298,76.0944293255418,3.49334971421303,31.3831310272217,0.00681023255195373,0,0.0485534578869693,2428.97890442834,153.356100663619,2165.35269422427,0,NA,0,0,0.376046383048383,0.147290358940436,0.382784664614494,0.0266969033434994,477.360511917456,1.87890062038263,0.371419442127667,0.0381368359309536,10,4.13256749237186
227,24.5473670563334,76.1451804326575,3.46234152606907,1.00095617771149,0,0,0.0621856007743337,125.03801221403,7.94568503216638,2666.38159778977,0,NA,0,0,0,0.660291187567583,0.0617229509016602,0,70.1224436229873,0,0.0564899171236413,0.0364361461583684,0,4.14820615326734
228,24.5695755446732,76.200524643033,3.43354813545845,30.7658081054688,0.0545122166359842,295.006286166222,0.00554375565508924,4776.00867811465,284.604719626357,3201.67198200368,1.68730744645932,NA,0.00054179980636645,0,0.00456740563287471,0.281977915898649,0.496732440091584,0,430.125297498407,0,0.282907757820044,0.0437722633646547,0,4.16523793556141
229,24.5902992263202,76.2578281896484,3.41352268201222,33.0788307189941,0.0190576434560946,2.7371605117906,0.0618416685441649,7962.17166051148,490.917043104549,3044.51,41.0890689424827,NA,0,0,0.49928924024899,0,0.50071075975101,0.0121364914321814,575.765221916845,0,0.548043403756648,0.114995266069175,114,4.18336495881413
230,24.6092482155986,76.314548412732,3.40585870565722,16.5199222564697,0.00477568140529923,0,0,4090.99043794276,265.248754722516,3045.72873337242,48.7108797309438,NA,0,0,0.884757952823993,0,0.0985378469640846,0.0324685113857921,558.988869099411,0,0.532760751846443,0.0843738030118143,92,4.20232632152826
231,24.6260750125253,76.3683142535265,3.40918762094321,6.89715528488159,0,1.86334787490553,0.0010866461488721,1889.3257952144,124.106938840323,3066.95734963331,44.3055883114268,0.0899345052000092,0,0,0.616799162958525,0,0,0.216599759364214,500.846151369271,31.7960799595948,0.50140275312175,0.0819780499207583,45,4.22189699869049
232,24.6404261780956,76.4170429903065,3.40635748415483,5.59337377548218,0,5.13665212509444,0.00160933827683557,3394.90317544009,225.801289148777,2970.20462336989,19.565613335791,0.0348813705812792,0,0,0.852087301072024,0.0233082915374841,0,0.0989577156841465,494.277288178367,21.4640284135242,0.562079520423322,0.114006855397223,39,4.24188537883954
233,24.6520027509181,76.4590768804412,3.41672350314521,10.594895362854,0,0,0,2268.77764134519,150.505537668571,2676.23814859593,11.5371535218082,NA,0,0,0.986232840917534,0,0,0.0304888299088442,489.820693183305,0.796855150679212,0.592180092461261,0.132335054532475,44,4.26213007163789
234,24.6662321078522,76.5192338812276,3.43422284275539,14.6151704788208,0,6.75379033642001,0.00235178689171643,4134.91627595178,266.576713146565,2585.89153612526,7.72851893236876,0.0583637518985377,0.0502850311595466,0,0.121540244299741,0,0.488931400087645,0.283766233565339,403.914785391468,38.2925879436615,0.465631760499408,0.0952761247515712,37,4.30287312744932
235,24.4954322731454,75.8780809077432,3.51682741559042,39.1670989990234,4.47245583006824e-05,6.10207595989413,0.023279692922885,4664.60955003654,277.59204218739,1728.38891080304,0,NA,0.00094746535599622,0,0.382343807798907,0,0.616704207438485,0.0682025720073152,691.708454598693,16.3943767413948,0.507917037493144,0.0531808212363768,27,4.07301858059498
236,24.5172455384105,75.9267578018038,3.48428794685621,48.9112014770508,0.010437425264869,0.259750432917812,0.00941518995205514,3995.32807770677,235.42783278041,1449.86,0,NA,0,0,0.0529266058162992,0.0655925167919143,0.79461450970932,0.0616572141275765,729.389203953104,0,0.418964223593559,0.0111039038122371,13,4.08913401573084
237,24.5378277472959,75.9821324818187,3.44629028886736,7.15290689468384,0.00813938480133465,0,0.186800874744481,887.32813898825,50.1140129898989,1781.85224026947,16.995121277673,NA,0,0,0,0.682449468640276,0.305041855252701,0.00184836889969118,144.015124173812,0,0.136316476308933,0.0392547126457097,0,4.10696041083314
