system:index,DSM,cell_id,.geo
0000000000000000001b,8.39263207399279,156.0,"{""type"":""Polygon"",""coordinates"":[[[-43.2265749129626,-22.79037909150697],[-43.22651651494085,-22.794896975233947],[-43.2216437693793,-22.794842686007122],[-43.22170239456923,-22.790324848018546],[-43.2265749129626,-22.79037909150697]]]}"
0000000000000000001c,6.9719897802246065,168.0,"{""type"":""Polygon"",""coordinates"":[[[-43.22170239456923,-22.790324848018546],[-43.2216437693793,-22.794842686007122],[-43.21677594187019,-22.794788338175692],[-43.21683464657985,-22.790270522993683],[-43.22170239456923,-22.790324848018546]]]}"
0000000000000000001d,8.472812303829256,177.0,"{""type"":""Polygon"",""coordinates"":[[[-43.21683464657985,-22.790270522993683],[-43.21677594187019,-22.794788338175692],[-43.21190808608749,-22.794733845108816],[-43.21196701802931,-22.790215930426243],[-43.21683464657985,-22.790270522993683]]]}"
0000000000000000001e,1.5229158175262583,186.0,"{""type"":""Polygon"",""coordinates"":[[[-43.21196701802931,-22.790215930426243],[-43.21190808608749,-22.794733845108816],[-43.207035401502054,-22.794679069738354],[-43.20709448686702,-22.79016129860542],[-43.21196701802931,-22.790215930426243]]]}"
0000000000000000001f,-0.47820164342973365,4.0,"{""type"":""Polygon"",""coordinates"":[[[-43.20216756304957,-22.794624261243154],[-43.197299770687,-22.794569355604228],[-43.19735916296984,-22.790051508166766],[-43.20222680185967,-22.790106488337674],[-43.20216756304957,-22.794624261243154]]]}"
00000000000000000020,2.9217258112103632,8.0,"{""type"":""Polygon"",""coordinates"":[[[-43.19249157037832,-22.789996430940786],[-43.19735916296984,-22.790051508166766],[-43.197299770687,-22.794569355604228],[-43.19243195071698,-22.794514231961546],[-43.19249157037832,-22.789996430940786]]]}"
00000000000000000021,3.7893400219470137,15.0,"{""type"":""Polygon"",""coordinates"":[[[-43.19249157037832,-22.789996430940786],[-43.19243195071698,-22.794514231961546],[-43.18755937463754,-22.794458873267633],[-43.187619073954494,-22.789941168036414],[-43.19249157037832,-22.789996430940786]]]}"
00000000000000000022,11.852943207427536,27.0,"{""type"":""Polygon"",""coordinates"":[[[-43.187619073954494,-22.789941168036414],[-43.18755937463754,-22.794458873267633],[-43.18269164725867,-22.794403482389598],[-43.18275150013121,-22.789885702817312],[-43.187619073954494,-22.789941168036414]]]}"
00000000000000000023,17.071098556183298,38.0,"{""type"":""Polygon"",""coordinates"":[[[-43.18275150013121,-22.789885702817312],[-43.18269164725867,-22.794403482389598],[-43.17782389277922,-22.794347946381887],[-43.177883899235006,-22.7898301653669],[-43.18275150013121,-22.789885702817312]]]}"
00000000000000000024,25.78913309296129,49.0,"{""type"":""Polygon"",""coordinates"":[[[-43.177883899235006,-22.7898301653669],[-43.17782389277922,-22.794347946381887],[-43.17295130741899,-22.794292199506216],[-43.17301154139809,-22.78977446495759],[-43.177883899235006,-22.7898301653669]]]}"
00000000000000000025,11.249107036365116,58.0,"{""type"":""Polygon"",""coordinates"":[[[-43.17301154139809,-22.78977446495759],[-43.17295130741899,-22.794292199506216],[-43.168083572666575,-22.79423634829905],[-43.168143960291296,-22.78971861244491],[-43.17301154139809,-22.78977446495759]]]}"
